title,code,location,price,characteristics,img
Arriendo de Apartamento en Medellín,AA-74721," Castropol, Medellín",$6.000.000,104 Metros|3 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74721-1.jpg
Arriendo de Apartamento en Medellín,AA-74717," El nogal los almendros, Medellín",$4.000.000,105 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74717-1.jpg
Arriendo de Apartamento en Medellín,AA-74716," Castropol, Medellín",$4.500.000,106 Metros|2 Baños|4 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74716-1.jpg
Arriendo de Apartamento en Medellín,AA-74715," Laureles, Medellín",$3.400.000,143 Metros|3 Baños|4 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74712," Patio bonito, Medellín",$4.500.000,122 Metros|3 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74711," Rodeo alto, Medellín",$1.700.000,57 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74704," Altos del poblado cola del zorro, Medellín",$6.500.000,140 Metros|4 Baños|3 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74698," Santa fé, Medellín",$3.200.000,70 Metros|- Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74697," Loma de san julián, Medellín",$6.000.000,110 Metros|2 Baños|2 Alcobas,http://www.w3.org/2000/svg%22%20viewBox=%220%200%20210%20140%22%3E%3C/svg%3E
Arriendo de Apartamento en Medellín,AA-74693," Altos del poblado cola del zorro, Medellín",$5.000.000,132 Metros|2 Baños|1 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74693-1.jpg
Arriendo de Apartamento en Medellín,AA-74691," San lucas, Medellín",$4.000.000,87 Metros|3 Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74691-1.jpg
Arriendo de Apartamento en Medellín,AA-74684," Loma del indio, Medellín",$2.500.000,70 Metros|2 Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74684-1.jpg
Arriendo de Apartamento en Medellín,AA-74683," Los colores, Medellín",$2.400.000,70 Metros|2 Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74683-1.jpg
Arriendo de Apartamento en Medellín,AA-74681," Loma del indio, Medellín",$2.300.000,55 Metros|2 Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74681-1.jpg
Arriendo de Apartamento en Medellín,AA-74679," Santa fé, Medellín",$3.000.000,70 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74679-1.jpg
Arriendo de Apartamento en Medellín,AA-69773," La loma de los bernal, Medellín",$2.600.000,69 Metros|2 Baños|2 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-69773-1.jpg
Arriendo de Apartamento en Medellín,AA-74669," Boston, Medellín",$1.300.000,65 Metros|2 Baños|3 Alcobas,https://s3.amazonaws.com/com.albertoalvarez.fullpublic/propertyPictures//property-AA-74669-1.jpg
